Key;KRADanzahl;KRADweibl;PKW;PKWproTausendEW;KFZinsgesamt;KFZproTausendEW
1053;11225;1627;119647;604;145725;736
1054;9753;1300;105675;637;136833;825
1055;12803;1802;129347;645;157995;788
1056;15577;2205;179634;568;215327;681
1057;7885;1126;81531;634;100026;777
1058;15934;2147;176281;643;217112;792
1059;12271;1666;130539;649;165386;822
1060;15862;2211;170514;615;207407;748
1061;8576;1197;82743;632;103385;789
1062;13419;1917;154400;632;186510;764
16051;7249;865;98570;461;117372;549
16052;2877;310;46036;494;53356;573
16053;3216;326;45528;409;52649;473
16054;1709;173;20401;555;24314;661
16055;2164;267;31433;482;36205;555
16056;1572;175;21213;502;25074;593
16061;5357;556;60558;606;78505;785
16062;3987;482;47462;569;58217;698
16063;7311;730;74256;624;93755;788
16064;5096;536;57121;559;73223;716
16065;4369;468;44458;599;56402;760
16066;7004;681;76545;613;96904;776
16067;6356;666;76608;568;94554;701
16068;3932;431;40673;586;52300;753
16069;3773;355;39379;623;50854;805
16070;5535;674;59092;556;73244;689
16071;4993;567;48697;593;63172;769
16072;3214;371;34930;605;43134;747
16073;6228;595;60606;587;78032;756
16074;4765;508;49635;598;64123;773
16075;4914;506;50658;631;66943;834
16076;5829;630;60226;618;78209;803
16077;4844;491;51465;576;63321;708
